Unique_ID,Date,TL,H_L_Ratio,Sex,Nesting_Season,Breading_season,Breading_size,Class,Lat,Long
1,7/23/2023,36,1.21,M,Y,N,N,Juvenile,30.308612,-90.40880195
2,7/24/2023,76,1.18,M,Y,N,N,Juvenile,30.3093993,-90.40753594
3,8/1/2023,148,1.2,F,N,N,N,Juvenile,30.31092758,-90.40802947
4,8/29/2023,198,1.14,M,N,N,Y,Adult,30.31319679,-90.4094564
5,9/1/2023,40,1.23,F,N,N,N,Juvenile,30.31380808,-90.41102281
6,9/6/2023,47,1.21,F,N,N,N,Juvenile,30.31878161,-90.41130176
7,9/11/2023,35,1.18,F,N,N,N,Juvenile,30.31779063,-90.41400543
8,9/11/2023,68,1.19,M,N,N,N,Juvenile,30.3262361,-90.44269266
9,9/11/2023,64,1.3,M,N,N,N,Juvenile,30.3218131,-90.42677619
10,9/11/2023,37,1.26,F,N,N,N,Juvenile,30.30267479,-90.40664416
11,9/17/2023,76,1.21,F,N,N,N,Juvenile,30.34150353,-90.50828638
12,9/17/2023,173,1.15,M,N,N,N,Juvenile,30.32600431,-90.51869767
13,9/17/2023,145,1.13,F,N,N,N,Juvenile,30.30881481,-90.53775209
14,9/17/2023,45,1.19,M,N,N,N,Juvenile,30.30221976,-90.56092637
15,9/27/2023,48,1.28,M,N,N,N,Juvenile,30.2201242,-90.43570821
16,9/27/2023,34,1.1,F,N,N,N,Juvenile,30.21100689,-90.43398039
17,9/27/2023,71,1.19,F,N,N,N,Juvenile,30.20022819,-90.45227887
18,10/2/2023,63,1.23,M,N,N,N,Juvenile,30.17405002,-90.47790347
19,10/2/2023,39,1.25,M,N,N,N,Juvenile,30.17167531,-90.49677869
20,10/2/2023,99,1.17,M,N,N,N,Juvenile,30.20950771,-90.59606073
21,10/15/2023,134,1.23,F,N,N,N,Juvenile,30.19112462,-90.60724834
22,10/25/2023,179,1.45,M,N,N,N,Juvenile,30.23157852,-90.57717736
23,11/3/2023,40,2.67,F,N,N,N,Juvenile,30.29279917,-90.56914857
24,11/3/2023,47,1.56,F,N,N,N,Juvenile,30.22343698,-90.573582
25,4/15/2023,130,1.31,M,N,Y,N,Juvenile,30.32521093,-90.43305114
26,4/15/2023,155,1.34,M,N,Y,N,Juvenile,30.32588773,-90.42894621
27,4/28/2023,198,1.22,F,N,Y,Y,Adult,30.33118255,-90.45399092
28,4/28/2023,172,1.51,M,N,Y,N,Juvenile,30.34718471,-90.47995809
29,5/5/2023,133,1.54,F,N,Y,N,Juvenile,30.35291619,-90.47202496
30,5/15/2023,110,1.26,F,N,Y,N,Juvenile,30.32083151,-90.52769526
31,5/15/2023,76,1.19,F,N,Y,N,Juvenile,30.31892043,-90.52681892
32,5/15/2023,50,1.38,M,N,Y,N,Juvenile,30.31442128,-90.53258428
33,5/31/2024,35,1.56,F,N,Y,N,Juvenile,30.29293054,-90.41457699
34,5/31/2024,42,1.18,F,N,Y,N,Juvenile,30.3004765,-90.42477316
35,6/6/2024,86,1.98,M,Y,N,N,Juvenile,30.3231109,-90.42817188
36,6/6/2024,105,1.24,M,Y,N,N,Juvenile,30.32415866,-90.43059954
37,6/12/2024,187,1.18,F,Y,N,Y,Adult,30.23044448,-90.42938571
38,6/12/2024,40,1.59,M,Y,N,N,Juvenile,30.24680373,-90.42671529
39,6/12/2024,47,1.12,F,Y,N,N,Juvenile,30.21135524,-90.4429806
40,6/18/2024,43,3.43,M,Y,N,N,Juvenile,30.3017341,-90.5488265
41,6/18/2024,72,1.26,F,Y,N,N,Juvenile,30.32080578,-90.52673481
